"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"/opt/lampp/htdocs/DocManager/html/administrateur/faculter.html", "HTML", 0, 95, 0, 0, 0, 8, 10, 113
"/opt/lampp/htdocs/DocManager/html/administrateur/filiere.html", "HTML", 0, 103, 0, 0, 0, 9, 10, 122
"/opt/lampp/htdocs/DocManager/html/administrateur/profile.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"/opt/lampp/htdocs/DocManager/html/administrateur/roles.html", "HTML", 0, 96, 0, 0, 0, 8, 9, 113
"/opt/lampp/htdocs/DocManager/html/administrateur/session.html", "HTML", 0, 278, 0, 0, 0, 10, 26, 314
"/opt/lampp/htdocs/DocManager/html/administrateur/type_document.html", "HTML", 0, 96, 0, 0, 0, 8, 10, 114
"/opt/lampp/htdocs/DocManager/html/administrateur/updateFaculter.html", "HTML", 0, 113, 0, 0, 0, 4, 16, 133
"/opt/lampp/htdocs/DocManager/html/administrateur/updateFiliere.html", "HTML", 0, 113, 0, 0, 0, 5, 14, 132
"/opt/lampp/htdocs/DocManager/html/administrateur/updateRole.html", "HTML", 0, 113, 0, 0, 0, 4, 16, 133
"/opt/lampp/htdocs/DocManager/html/administrateur/updateSession.html", "HTML", 0, 132, 0, 0, 0, 5, 15, 152
"/opt/lampp/htdocs/DocManager/html/administrateur/updateTypeDocument.html", "HTML", 0, 113, 0, 0, 0, 5, 15, 133
"/opt/lampp/htdocs/DocManager/html/administrateur/updateUsers.html", "HTML", 0, 173, 0, 0, 0, 6, 25, 204
"/opt/lampp/htdocs/DocManager/html/administrateur/utilisateurs.html", "HTML", 0, 300, 0, 0, 0, 21, 38, 359
"/opt/lampp/htdocs/DocManager/html/choixUsers.html", "HTML", 0, 59, 0, 0, 0, 4, 10, 73
"/opt/lampp/htdocs/DocManager/html/etudiant/accueilEtudiant.html", "HTML", 0, 47, 0, 0, 0, 3, 8, 58
"/opt/lampp/htdocs/DocManager/html/index.html", "HTML", 0, 151, 0, 0, 0, 6, 8, 165
"/opt/lampp/htdocs/DocManager/html/loginAdmin.html", "HTML", 0, 134, 0, 0, 0, 6, 21, 161
"/opt/lampp/htdocs/DocManager/html/loginEtudiant.html", "HTML", 0, 134, 0, 0, 0, 6, 21, 161
"/opt/lampp/htdocs/DocManager/index.js", "JavaScript", 0, 0, 37, 0, 0, 5, 8, 50
"/opt/lampp/htdocs/DocManager/javaScript/controller/AdminController.js", "JavaScript", 0, 0, 33, 0, 0, 7, 11, 51
